Zestimate,Price,Rent_Zestimate,Bathrooms,Bedrooms,Living_Area,Home_Type,Avg_Income_Per_Capita,Zip,logZestimate,logPrice,logRentzestimate,Price_per_sqft,Total_Housing_Units_By_Zip,Homeowner_Vacancy_Rate_By_Zip,Percent_Occupied_Housing_Lacking_Complete_Plumbing_Facilities,Percent_Occupied_Housing_Lacking_Complete_Kitchen_Facilities,Percent_Occupied_Housing_No_Telephone_Service_Available,Typical_Home_Value_Mar21,Avg_Typical_Home_Value_Over_Past_10yrs,Avg_Yearly_Value_Growth_Rate
232381,230000,1495,1,1,763,SINGLE_FAMILY,108,Zip_92397,12.35613355,12.34583459,7.309881486,301.4416776,3007,1.6,0,0,0,369560,262242.2645,7.661289708
379040,375000,2000,3,4,2060,SINGLE_FAMILY,104,Zip_92371,12.84539702,12.8346813,7.60090246,182.038835,5898,0,0.3,1.6,2.3,352373,235861.7521,9.231399822
372898,368000,2195,2,3,1836,SINGLE_FAMILY,104,Zip_92371,12.8290602,12.81583822,7.693937326,200.4357298,5898,0,0.3,1.6,2.3,352373,235861.7521,9.231399822
429360,415000,2300,2,3,2040,SINGLE_FAMILY,107,Zip_92372,12.97005101,12.9360338,7.740664402,203.4313725,2439,0,0,1.8,0,357184,241468.8182,9.08241122
369676,363000,2000,3,3,1838,SINGLE_FAMILY,107,Zip_92372,12.82038223,12.80215811,7.60090246,197.4972797,2439,0,0,1.8,0,357184,241468.8182,9.08241122
406009,405000,2050,3,3,2311,SINGLE_FAMILY,107,Zip_92372,12.91413061,12.91164235,7.625595072,175.24881,2439,0,0,1.8,0,357184,241468.8182,9.08241122
245527,130000,1800,2,2,1152,MANUFACTURED,107,Zip_92372,12.4111622,11.77528973,7.495541944,112.8472222,2439,0,0,1.8,0,357184,241468.8182,9.08241122
507465,505000,2300,4,4,2597,SINGLE_FAMILY,107,Zip_92372,13.13718302,13.13231371,7.740664402,194.4551405,2439,0,0,1.8,0,357184,241468.8182,9.08241122
326996,325000,1900,2,3,1368,SINGLE_FAMILY,107,Zip_92372,12.69770322,12.69158046,7.549609165,237.5730994,2439,0,0,1.8,0,357184,241468.8182,9.08241122
458263,453000,2200,2,4,2100,SINGLE_FAMILY,107,Zip_92372,13.03519853,13.0236474,7.696212639,215.7142857,2439,0,0,1.8,0,357184,241468.8182,9.08241122
390124,385000,2100,2,4,2021,SINGLE_FAMILY,107,Zip_92372,12.87421992,12.86099861,7.649692624,190.4997526,2439,0,0,1.8,0,357184,241468.8182,9.08241122
284740,281000,1650,2,3,1560,MANUFACTURED,107,Zip_92372,12.55933176,12.54610995,7.408530567,180.1282051,2439,0,0,1.8,0,357184,241468.8182,9.08241122
492277,485000,2500,3,4,3139,SINGLE_FAMILY,107,Zip_92372,13.10679685,13.09190417,7.824046011,154.507805,2439,0,0,1.8,0,357184,241468.8182,9.08241122
381091,375000,2100,2,3,2070,SINGLE_FAMILY,107,Zip_92372,12.85079347,12.8346813,7.649692624,181.1594203,2439,0,0,1.8,0,357184,241468.8182,9.08241122
290690,285000,1650,2,3,1782,MANUFACTURED,107,Zip_92372,12.58001269,12.56024446,7.408530567,159.9326599,2439,0,0,1.8,0,357184,241468.8182,9.08241122
333282,329000,2195,3,2,1262,SINGLE_FAMILY,108,Zip_92397,12.71674426,12.70381303,7.693937326,260.6973059,3007,1.6,0,0,0,369560,262242.2645,7.661289708
183444,180000,1900,1.5,1,1170,SINGLE_FAMILY,108,Zip_92397,12.11966472,12.10071213,7.549609165,153.8461538,3007,1.6,0,0,0,369560,262242.2645,7.661289708
361793,355000,2132,1,3,1268,SINGLE_FAMILY,108,Zip_92397,12.7988275,12.77987307,7.664815785,279.9684543,3007,1.6,0,0,0,369560,262242.2645,7.661289708
345072,329000,2100,3,2,1262,SINGLE_FAMILY,108,Zip_92397,12.75150837,12.70381303,7.649692624,260.6973059,3007,1.6,0,0,0,369560,262242.2645,7.661289708
351855,350000,2000,3,3,1764,SINGLE_FAMILY,104,Zip_92371,12.77097444,12.76568843,7.60090246,198.4126984,5898,0,0.3,1.6,2.3,352373,235861.7521,9.231399822
342946,340000,2000,2,3,2234,SINGLE_FAMILY,104,Zip_92371,12.74532828,12.7367009,7.60090246,152.1933751,5898,0,0.3,1.6,2.3,352373,235861.7521,9.231399822
476700,473000,2500,3,4,3150,SINGLE_FAMILY,107,Zip_92372,13.07464264,13.06685067,7.824046011,150.1587302,2439,0,0,1.8,0,357184,241468.8182,9.08241122
670364,525000,2600,5,7,4570,SINGLE_FAMILY,104,Zip_92371,13.41557613,13.17115354,7.863266724,114.8796499,5898,0,0.3,1.6,2.3,352373,235861.7521,9.231399822
442794,440000,1975,3,4,2261,SINGLE_FAMILY,107,Zip_92372,13.00085993,12.99453001,7.588323677,194.6041575,2439,0,0,1.8,0,357184,241468.8182,9.08241122
453353,440000,2400,4,5,2926,SINGLE_FAMILY,107,Zip_92372,13.02442635,12.99453001,7.783224016,150.3759398,2439,0,0,1.8,0,357184,241468.8182,9.08241122
426713,425000,2195,2,4,2633,SINGLE_FAMILY,107,Zip_92372,12.96386694,12.95984445,7.693937326,161.4128371,2439,0,0,1.8,0,357184,241468.8182,9.08241122
