Zestimate,Price,Rent_Zestimate,Bathrooms,Bedrooms,Living_Area,Home_Type,Avg_Income_Per_Capita,Zip,logZestimate,logprice,logrentzestimate,$/sqft
600494,605000,3150,3,4,1883,SINGLE_FAMILY,110,Zip_91351,13.30550793,13.31298374,8.055157732,321.2958046
444793,425000,2350,2,2,1162,CONDO,120,Zip_91321,13.00536428,12.95984445,7.762170607,365.7487091
638554,650000,3100,3,3,1635,SINGLE_FAMILY,111,Zip_91350,13.36696152,13.38472764,8.03915739,397.5535168
638591,640000,3250,4,5,2530,TOWNHOUSE,111,Zip_91350,13.36701947,13.36922346,8.086410275,252.9644269
518235,517000,3100,3,3,1696,CONDO,111,Zip_91350,13.15818409,13.15579815,8.03915739,304.8349057
641721,640000,3029,4,5,2542,TOWNHOUSE,111,Zip_91350,13.37190891,13.36922346,8.015987811,251.7702596
450268,454000,2450,2,2,1171,TOWNHOUSE,120,Zip_91321,13.01759824,13.02585248,7.803843304,387.7028181
617250,615000,2980,2,3,1566,SINGLE_FAMILY,110,Zip_91351,13.33302941,13.32937755,7.999678579,392.7203065
430004,442500,2300,2,2,925,SINGLE_FAMILY,120,Zip_91321,12.97154979,13.00019574,7.740664402,478.3783784
1130572,1125000,3295,3,5,3776,SINGLE_FAMILY,111,Zip_91350,13.93823426,13.93329359,8.100161447,297.934322
412429,410000,2495,2,4,1003,CONDO,110,Zip_91351,12.92981935,12.92391244,7.822044008,408.773679
352808,420000,2395,2,2,893,CONDO,120,Zip_91321,12.77367928,12.94800999,7.78113851,470.324748
152526,125000,2290,2,2,1434,MANUFACTURED,111,Zip_91350,11.93509035,11.73606902,7.736307097,87.16875872
655749,650000,3200,3,4,2194,SINGLE_FAMILY,111,Zip_91350,13.39353337,13.38472764,8.070906089,296.2625342
356237,353000,2295,2,2,964,CONDO,110,Zip_91351,12.78335152,12.77422334,7.738488122,366.1825726
221008,219000,2400,3,4,1714,SINGLE_FAMILY,110,Zip_91351,12.30595418,12.29682701,7.783224016,127.7712952
620640,615000,3045,2,5,1809,SINGLE_FAMILY,110,Zip_91351,13.33850648,13.32937755,8.02125618,339.9668325
147236,110000,2650,2,3,1404,SINGLE_FAMILY,110,Zip_91351,11.89979202,11.60823564,7.882314919,78.34757835
636597,630000,3200,4,4,2330,SINGLE_FAMILY,111,Zip_91350,13.36389208,13.3534751,8.070906089,270.3862661
565864,560000,3150,3,4,1733,CONDO,110,Zip_91351,13.24610905,13.23569206,8.055157732,323.1390652
